movie.title,genre,mpaa.rating,total.gross,inflation.adjusted.gross
ESPN's Ultimate X - The Movie,Documentary,PG,4197175,6089874
Bad Company,Action,PG-13,30157016,43756218
Lilo & Stitch,Adventure,PG,145771527,211506702
The Country Bears,Adventure,G,16988996,24650121
Signs,Thriller/Suspense,PG-13,227965690,330754439
Sen to Chihiro no Kamikakushi,Adventure,PG,10049886,14338992
Sweet Home Alabama,Comedy,PG-13,127214072,184521151
Moonlight Mile,Drama,PG-13,6830957,9909094
Tuck Everlasting,Drama,PG,19161999,27789959
The Santa Clause 2,Comedy,G,139225854,201959095
Treasure Planet,Adventure,PG,38120554,55189145
The Hot Chick,Comedy,PG-13,35081550,50624654
25th Hour,Drama,R,13084595,18325463
The Recruit,Thriller/Suspense,PG-13,52784696,73793522
Shanghai Knights,Adventure,PG-13,60470220,84537962
The Jungle Book 2,Adventure,G,47901582,66966883
Bringing Down the House,Comedy,PG-13,132675402,185481530
Piglet's Big Movie,Comedy,G,23103423,32298812
Ghosts of the Abyss,Documentary,G,17093668,23803108
Holes,Drama,PG,67383924,94203395
The Lizzie McGuire Movie,Comedy,PG,42734455,59743191
Finding Nemo,Adventure,G,380529370,518148559
Pirates of the Caribbean: The Curse o…,Adventure,PG-13,305411224,426967926
Freaky Friday,Comedy,PG,110222438,154090360
Open Range,Western,R,58331254,81547672
Cold Creek Manor,Thriller/Suspense,R,21384035,29895090
Under the Tuscan Sun,Comedy,PG-13,43601508,60944053
Veronica Guerin,Drama,R,1569918,2194759
Brother Bear,Adventure,G,85336277,119218333
The Haunted Mansion,Comedy,PG,75817994,105775678
Calendar Girls,Comedy,PG-13,31011616,42379650
Young Black Stallion,Adventure,G,6751389,9254344
Teacher's Pet: The Movie,Comedy,PG,6491969,8812764
Miracle,Drama,PG,64378093,87392478
Confessions of a Teenage Drama Queen,Comedy,PG,29331068,39816568
Hidalgo,Western,PG-13,67286731,91340921
The Ladykillers,Comedy,R,39692139,53881593
Home on the Range,Comedy,PG,50026353,67910166
The Alamo,Western,PG-13,22406362,30416359
Raising Helen,Comedy,PG-13,37485528,50886144
Around the World in 80 Days,Adventure,PG,24004159,32585356
America's Heart and Soul,Documentary,Not Rated,314000,426246
King Arthur,Adventure,PG-13,51877963,70423706
The Village,Thriller/Suspense,PG-13,114197520,155021748
The Princess Diaries 2: Royal Engagement,Romantic Comedy,G,95149435,129164207
Mr. 3000,Comedy,PG-13,21800302,29593641
The Last Shot,Comedy,R,463730,629502
Ladder 49,Action,PG-13,74541707,101161045
The Incredibles,Adventure,PG,261441092,354488708
National Treasure,Adventure,PG,173005002,234069353
The Life Aquatic with Steve Zissou,Comedy,R,24006726,32198655
Aliens of the Deep,Documentary,G,8968684,11740942
Pooh's Heffalump Movie,Adventure,G,18098433,23801835
The Pacifier,Comedy,PG,113006880,148619029
Ice Princess,Comedy,G,24381334,32064685
A Lot Like Love,Comedy,PG-13,21835784,28716947
The Hitchhiker's Guide to the Galaxy,Comedy,PG,51019112,67096891
Hauru no ugoku shiro,Adventure,PG,4710455,6194870
Herbie: Fully Loaded,Comedy,G,66010682,86812798
Dark Water,Thriller/Suspense,PG-13,25473093,33500491
Sky High,Adventure,PG,63939454,84088854
Valiant,Adventure,G,19478106,25616292
Flightplan,Thriller/Suspense,PG-13,89706988,117960425
The Greatest Game Ever Played,Drama,PG,15331289,20162672
Shopgirl,Drama,R,10284523,13519621
Chicken Little,Adventure,G,135386665,177954661
"The Chronicles of Narnia: The Lion, t…",Adventure,PG,291710957,381557539
Casanova,Drama,R,11304403,14574087
Glory Road,Drama,PG,42647449,54888236
Annapolis,Drama,PG-13,17127992,22044113
Roving Mars,Documentary,G,10407978,12948025
Eight Below,Adventure,PG,81612565,105037235
The Shaggy Dog,Comedy,PG,61123569,78667428
Stay Alive,Horror,PG-13,23086480,29712825
The Wild,Adventure,G,37384046,48114115
Stick It,Comedy,PG-13,26910736,34634731
Goal! The Dream Begins,Drama,PG,4283255,5512647
Cars,Comedy,G,244082982,314140384
Pirates of the Caribbean: Dead Man’…,Adventure,PG-13,423315812,544817142
Step Up,Drama,PG-13,65328121,84078780
Invincible,Drama,PG,57806952,74398864
The Guardian,Action,PG-13,55011732,70801353
The Prestige,Thriller/Suspense,PG-13,53089891,68289913
Tim Burton's The Nightmare Before Chr…,Musical,PG,24732041,30737517
The Santa Clause 3: The Escape Clause,Comedy,G,84500122,108694869
