Series.Title,Certificate,IMDB.Rating,Meta.score,Director,No.of.Votes,Gross
Finding Nemo,U,8.1,90,Andrew Stanton,949565,"380,843,261"
Catch Me If You Can,A,8.1,75,Steven Spielberg,832846,"164,615,351"
Amores perros,A,8.1,83,Alejandro G. Iñárritu,223741,"5,383,834"
"Monsters, Inc.",U,8.1,79,Pete Docter,815505,"289,916,256"
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",UA,8.1,,Hideaki Anno,38847,
Lagaan: Once Upon a Time in India,U,8.1,84,Ashutosh Gowariker,105036,"70,147"
The Sixth Sense,A,8.1,64,M. Night Shyamalan,911573,"293,506,292"
La leggenda del pianista sull'oceano,U,8.1,58,Giuseppe Tornatore,59020,"259,127"
The Truman Show,U,8.1,90,Peter Weir,939631,"125,618,201"
"Crna macka, beli macor",R,8.1,73,Emir Kusturica,50862,"348,660"
The Big Lebowski,R,8.1,71,Joel Coen,732620,"17,498,804"
Fa yeung nin wah,U,8.1,85,Kar-Wai Wong,124383,"2,734,044"
Trainspotting,A,8.1,83,Danny Boyle,634716,"16,501,785"
Fargo,A,8.1,85,Joel Coen,617444,"24,611,975"
Underground,,8.1,,Emir Kusturica,55220,"171,082"
La haine,UA,8.1,,Mathieu Kassovitz,150345,"309,811"
Dilwale Dulhania Le Jayenge,U,8.1,,Aditya Chopra,63516,
Before Sunrise,R,8.1,77,Richard Linklater,272291,"5,535,405"
Trois couleurs: Rouge,U,8.1,100,Krzysztof Kieslowski,90729,"4,043,686"
Chung Hing sam lam,U,8.1,77,Kar-Wai Wong,63122,"600,200"
Jurassic Park,UA,8.1,68,Steven Spielberg,867615,"402,453,882"
In the Name of the Father,UA,8.1,84,Jim Sheridan,156842,"25,010,410"
Ba wang bie ji,R,8.1,,Kaige Chen,25088,"5,216,888"
Dà hóng denglong gaogao guà,PG,8.1,,Yimou Zhang,29662,"2,603,061"
Dead Poets Society,U,8.1,79,Peter Weir,425457,"95,860,116"
Stand by Me,U,8.1,75,Rob Reiner,363401,"52,287,414"
Platoon,A,8.1,92,Oliver Stone,381222,"138,530,565"
"Paris, Texas",U,8.1,78,Wim Wenders,91188,"2,181,987"
Kaze no tani no Naushika,U,8.1,86,Hayao Miyazaki,150924,"495,770"
The Thing,A,8.1,57,John Carpenter,371271,"13,782,838"
Pink Floyd: The Wall,UA,8.1,47,Alan Parker,76081,"22,244,207"
Fitzcarraldo,R,8.1,,Werner Herzog,31595,
Fanny och Alexander,A,8.1,100,Ingmar Bergman,57784,"4,971,340"
Blade Runner,UA,8.1,84,Ridley Scott,693827,"32,868,943"
The Elephant Man,UA,8.1,78,David Lynch,220078,
Life of Brian,R,8.1,77,Terry Jones,367250,"20,045,115"
The Deer Hunter,A,8.1,86,Michael Cimino,311361,"48,979,328"
Rocky,U,8.1,70,John G. Avildsen,518546,"117,235,247"
Network,UA,8.1,83,Sidney Lumet,144911,
Barry Lyndon,PG,8.1,89,Stanley Kubrick,149843,
Zerkalo,G,8.1,,Andrei Tarkovsky,40081,"177,345"
Chinatown,UA,8.1,92,Roman Polanski,294230,"29,000,000"
Paper Moon,U,8.1,77,Peter Bogdanovich,42285,"30,933,743"
Viskningar och rop,A,8.1,,Ingmar Bergman,30206,"1,742,348"
Solaris,PG,8.1,90,Andrei Tarkovsky,81021,
Le samouraï,GP,8.1,,Jean-Pierre Melville,45434,"39,481"
Cool Hand Luke,A,8.1,92,Stuart Rosenberg,161984,"16,217,773"
Persona,,8.1,86,Ingmar Bergman,103191,
Andrei Rublev,R,8.1,,Andrei Tarkovsky,46947,"102,021"
La battaglia di Algeri,,8.1,96,Gillo Pontecorvo,53089,"55,908"
El ángel exterminador,,8.1,,Luis Buñuel,29682,
What Ever Happened to Baby Jane?,Passed,8.1,75,Robert Aldrich,50058,"4,050,000"
Sanjuro,U,8.1,,Akira Kurosawa,33044,
The Man Who Shot Liberty Valance,,8.1,94,John Ford,68827,
Ivanovo detstvo,,8.1,,Andrei Tarkovsky,31728,
Jungfrukällan,A,8.1,,Ingmar Bergman,26697,"1,526,000"
Inherit the Wind,Passed,8.1,75,Stanley Kramer,27254,
Les quatre cents coups,,8.1,,François Truffaut,105291,
Ben-Hur,U,8.1,90,William Wyler,219466,"74,700,000"
Kakushi-toride no san-akunin,,8.1,,Akira Kurosawa,34797,
Le notti di Cabiria,,8.1,,Federico Fellini,42940,"752,045"
Kumonosu-jô,,8.1,,Akira Kurosawa,46678,
The Bridge on the River Kwai,PG,8.1,87,David Lean,203463,"44,908,000"
On the Waterfront,A,8.1,91,Elia Kazan,142107,"9,600,000"
Le salaire de la peur,U,8.1,85,Henri-Georges Clouzot,54588,
Ace in the Hole,Approved,8.1,72,Billy Wilder,31568,"3,969,893"
White Heat,,8.1,,Raoul Walsh,29807,
The Third Man,Approved,8.1,97,Carol Reed,158731,"449,191"
The Red Shoes,,8.1,,Michael Powell,30935,"10,900,000"
The Shop Around the Corner,,8.1,96,Ernst Lubitsch,28450,"203,300"
Rebecca,Approved,8.1,86,Alfred Hitchcock,123942,"4,360,000"
Mr. Smith Goes to Washington,Passed,8.1,73,Frank Capra,107017,"9,600,000"
Gone with the Wind,U,8.1,97,Victor Fleming,290074,"198,676,459"
La Grande Illusion,,8.1,,Jean Renoir,33829,"172,885"
It Happened One Night,Approved,8.1,87,Frank Capra,94016,"4,360,000"
La passion de Jeanne d'Arc,Passed,8.1,,Carl Theodor Dreyer,47676,"21,877"
The Circus,Passed,8.1,90,Charles Chaplin,30205,
Sunrise: A Song of Two Humans,Passed,8.1,,F.W. Murnau,46865,"539,540"
The General,Passed,8.1,,Clyde Bruckman,81156,"1,033,895"
Das Cabinet des Dr. Caligari,,8.1,,Robert Wiene,57428,
Badhaai ho,UA,8,,Amit Ravindernath Sharma,27978,
Togo,U,8,69,Ericson Core,37556,
Airlift,UA,8,,Raja Menon,52897,
